#1;Ludinghausen 1m Lufttemp 2017
#2;Source: CDC DWD #DWD Climate Data Center (CDC): Hourly station observations of soil temperature at the depth of 100cm in
#°C for Germany, version v18.1 & recent
# Zeit [s];T[K]
double default(8761,2);
5785200;279.95
5788800;279.95
5792400;279.95
5796000;279.95
5799600;279.95
5803200;279.95
5806800;279.95
5810400;279.95
5814000;279.95
5817600;279.95
5821200;279.95
5824800;279.95
5828400;279.95
5832000;279.95
5835600;279.95
5839200;279.95
5842800;279.95
5846400;279.95
5850000;279.95
5853600;279.95
5857200;279.95
5860800;279.95
5864400;279.95
5868000;279.95
5871600;279.95
5875200;279.95
5878800;279.95
5882400;279.95
5886000;279.95
5889600;279.95
5893200;279.95
5896800;279.95
5900400;279.95
5904000;279.95
5907600;279.95
5911200;279.95
5914800;279.95
5918400;279.95
5922000;279.95
5925600;279.95
5929200;279.95
5932800;279.95
5936400;279.95
5940000;279.95
5943600;279.95
5947200;279.95
5950800;279.95
5954400;279.95
5958000;279.95
5961600;279.95
5965200;279.95
5968800;279.95
5972400;279.95
5976000;279.95
5979600;279.95
5983200;279.95
5986800;279.95
5990400;279.95
5994000;279.95
5997600;279.95
6001200;279.95
6004800;279.95
6008400;280.05
6012000;280.05
6015600;280.05
6019200;280.05
6022800;280.05
6026400;280.05
6030000;280.05
6033600;280.05
6037200;280.05
6040800;280.05
6044400;280.05
6048000;280.05
6051600;280.05
6055200;280.05
6058800;280.05
6062400;280.05
6066000;280.05
6069600;280.05
6073200;280.05
6076800;280.05
6080400;280.05
6084000;280.05
6087600;280.05
6091200;280.05
6094800;280.05
6098400;280.05
6102000;280.05
6105600;280.15
6109200;280.15
